71,192,608,5,18,2
505,116,98,5,5,4
2454,120,1949,1,29,3
1854,157,349,5,21,4
1527,153,2038,5,26,5
1364,84,1138,1,5,1
2226,185,799,5,18,3
2004,192,638,1,18,4
1294,297,927,4,33,3
1358,159,1800,5,19,4
2493,192,457,4,11,4
478,328,1350,5,32,1
993,324,1824,5,13,4
1737,168,870,4,17,4
2133,192,1099,1,18,5
1063,291,7,5,35,4
334,192,170,4,35,2
1604,325,1354,5,18,1
2216,4,376,6,32,3
1216,23,2139,5,34,1
2146,254,1152,1,18,3
1544,299,1537,6,35,1
406,329,106,5,37,4
1426,206,285,1,30,4
2286,123,1414,1,14,4
1666,329,548,4,37,3
669,192,750,1,18,4
1041,132,965,5,34,4
1719,332,754,1,33,2
2256,82,1709,1,35,3
954,245,38,5,18,3
975,206,2035,1,30,5
1374,309,2071,5,18,3
1923,44,1504,4,23,1
1542,134,1431,4,29,2
1529,153,2043,5,26,4
2494,192,603,5,11,4
2542,7,2138,6,18,1
1897,192,433,4,18,4
2262,56,546,4,35,5
2547,264,360,1,5,4
743,159,682,4,19,4
900,160,888,4,35,4
2243,192,448,4,14,4
1197,192,428,4,18,5
1641,203,1040,1,35,1
535,332,307,5,33,1
2297,42,204,1,5,3
925,61,566,5,30,4
1664,159,1502,5,19,2
370,74,2158,5,14,5
272,330,1281,5,37,4
543,165,555,1,18,5
2449,120,574,5,29,5
1214,59,1765,4,17,5
1456,192,452,4,29,4
1060,273,779,5,35,4
1958,107,1246,6,35,4
404,330,775,5,37,4
1026,249,130,5,30,4
1632,43,1298,5,19,3
2096,160,1863,1,18,4
697,192,2099,5,35,3
1592,174,2319,5,32,5
2069,52,917,5,14,4
1893,192,439,4,18,5
221,192,2270,5,35,4
2385,318,1209,1,32,5
2277,82,1711,1,35,3
671,179,2089,5,34,3
2180,154,1601,1,33,3
1067,192,437,4,18,4
2238,16,1798,5,22,1
1655,19,84,5,5,3
1658,40,849,1,30,5
831,329,993,5,37,3
407,206,1966,4,30,4
2058,352,913,5,33,4
745,195,1061,5,30,5
1477,157,953,5,33,4
1351,159,1340,5,19,4
1665,209,1142,5,37,1
498,103,2230,5,32,1
211,330,1118,6,37,4
1004,332,88,5,33,3
1688,343,1833,1,5,4
1692,157,1512,5,1,3
1413,34,550,5,32,5
643,335,1336,5,32,3
1416,183,398,5,18,2
893,208,219,1,30,3
2305,10,310,5,18,4
1010,84,1135,1,5,4
1918,353,987,5,23,4
1662,157,1403,5,33,5
700,192,336,5,18,5
1829,314,845,5,32,5
2370,249,2405,5,30,5
2558,120,413,4,29,5
384,192,591,5,18,4
2260,318,1832,5,32,5
1803,157,2335,5,33,4
2040,192,490,4,2,5
2319,195,1806,1,30,4
